Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
BHEL,489,24.27,40.5,19804.5,7936,66.87,4.79
HDFCBANK,45,945.8,1109.9,49945.5,7384.5,17.35,3.32
SBICARD,30,516.23,687.6,20628,5141.05,33.2,1.89
RELIANCE,5,1173.65,1847.15,9235.75,3367.5,57.39,3.31
HDFCLIFE,30,495.48,584.7,17541,2676.5,18.01,2.19
PNCINFRA,73,127.34,155.15,11325.95,2029.85,21.84,-0.83
TATASTEEL,28,287.11,338.75,9485,1446.05,17.99,2.67
HINDALCO,43,121.69,153.45,6598.35,1365.6,26.1,4.82
JKPAPER,110,93.97,105.6,11616,1279.5,12.38,5.65
IRCTC,10,1292.25,1403.6,14036,1113.5,8.62,-0.11
ITI,16,77.33,134.3,2148.8,911.6,73.68,19.96
SGBMAY28-GB,3,4540,4840,14520,900,6.61,1.92
SGBAPR28,3,4589,4824,14472,705,5.12,1.32
INFY,4,631.64,767.7,3070.8,544.25,21.54,0.66
KPITTECH,22,41.69,62.25,1369.5,452.4,49.33,2.72
ITC,25,186.33,199.8,4995,336.65,7.23,-3.73
SAIL,104,28.54,31.55,3281.2,313,10.55,2.1
ONGC,12,61.47,83.95,1007.4,269.8,36.58,1.88
LT,2,869.33,952.9,1905.8,167.15,9.61,0.89
KOTAKBANK,5,1349.65,1374.05,6870.25,122,1.81,1.5
NMDC,10,74.2,83.7,837,95,12.8,1.39
ASIANPAINT,12,1698.97,1705.75,20469,81.4,0.4,0.57
TATAPOWER,5,42.6,50.1,250.5,37.5,17.61,0.3
HDFCAMC,18,2618.12,2590.15,46622.7,-503.4,-1.07,1.78
VRLLOG,90,167.77,160.95,14485.5,-613.35,-4.06,0.19
ICICIBANK,28,402.25,361.8,10130.4,-1132.7,-10.06,0.22
GREENPLY,168,96.17,88.45,14859.6,-1297.7,-8.03,-0.73
SBIN,143,207.79,188.05,26891.15,-2823.05,-9.5,1.79
BAJAJFINSV,12,6849.14,6271.95,75263.4,-6926.3,-8.43,1.98
